"yearID","lgID","salary","POS","GS","PO","A","E","DP","AB","R","H","X2B","X3B","HR","RBI","BB","SO","IBB","HBP","SH","SF","GIDP"
2004,"NL",300001,"P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,"AL",387501,"P",1,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,"AL",403251,"P",1,4,7,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
2009,"AL",419001,"P",1,3,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,"AL",2750001,"P",1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,"AL",500001,"P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1986,"AL",600001,"P",1,6,13,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987,"AL",625001,"P",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1988,"AL",675001,"P",1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1989,"NL",400001,"P",1,7,9,1,1,6,1,1,1,1,1,1,1,4,1,1,1,1,1
2011,"NL",418001,"P",1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,"NL",485001,"P",7,4,7,1,1,8,1,2,1,1,1,1,1,4,1,1,1,1,2
2014,"AL",525901,"P",1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,"AL",1087501,"P",1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,"AL",1250001,"P",1,1,4,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1
1998,"AL",175001,"OF",62,133,1,5,1,245,34,69,15,2,13,42,10,29,2,1,3,6,3
1999,"AL",255001,"OF",18,26,1,2,1,58,6,10,1,1,3,7,6,13,1,1,2,2,5
2000,"AL",255001,"OF",51,102,3,3,1,216,32,60,16,2,4,30,22,39,2,3,3,2,3
2001,"NL",300001,"OF",9,27,1,2,1,43,6,12,4,1,1,6,4,8,1,2,1,1,2
1989,"AL",68001,"P",30,7,27,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1990,"AL",185001,"P",34,9,37,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,"AL",357501,"P",35,20,47,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,"AL",1850001,"P",30,12,36,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1993,"AL",2350001,"P",33,5,43,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1994,"AL",2775001,"P",25,9,24,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1995,"AL",2775001,"P",18,6,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1996,"AL",2200001,"P",24,4,28,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1999,"NL",400001,"P",16,4,24,2,2,22,1,3,1,1,1,4,1,11,1,1,4,1,1
1993,"AL",109001,"2B",1,1,1,1,1,62,12,16,2,1,4,10,4,21,1,1,4,1,4
1993,"AL",109001,"OF",12,34,2,2,1,62,12,16,2,1,4,10,4,21,1,1,4,1,4
1993,"AL",109001,"SS",4,4,13,2,3,62,12,16,2,1,4,10,4,21,1,1,4,1,4
1994,"NL",109001,"SS",94,163,261,16,62,346,42,87,18,4,10,34,17,99,2,6,4,3,6
1995,"NL",119001,"SS",110,150,291,20,67,421,61,108,19,8,18,61,37,111,5,6,3,6,7
1996,"NL",250001,"2B",16,36,40,1,7,321,38,82,19,8,9,34,23,100,2,4,5,1,8
1996,"NL",250001,"3B",28,23,44,7,4,321,38,82,19,8,9,34,23,100,2,4,5,1,8
1996,"NL",250001,"SS",42,67,124,7,35,321,38,82,19,8,9,34,23,100,2,4,5,1,8
1997,"NL",650001,"SS",7,11,20,1,7,253,36,70,19,3,7,31,15,69,4,2,7,1,6
1997,"NL",650001,"3B",3,3,2,2,1,253,36,70,19,3,7,31,15,69,4,2,7,1,6
1997,"NL",650001,"OF",7,14,1,1,1,253,36,70,19,3,7,31,15,69,4,2,7,1,6
1997,"NL",650001,"2B",44,102,117,8,22,253,36,70,19,3,7,31,15,69,4,2,7,1,6
1998,"AL",1000001,"OF",2,7,1,1,1,124,18,34,8,2,3,10,11,35,1,2,2,2,4
1998,"AL",1000001,"3B",1,1,1,1,1,124,18,34,8,2,3,10,11,35,1,2,2,2,4
1998,"AL",1000001,"SS",29,41,71,12,17,124,18,34,8,2,3,10,11,35,1,2,2,2,4
1999,"NL",900001,"1B",8,58,4,1,7,287,42,79,18,3,9,42,17,70,1,1,3,2,5
1999,"NL",900001,"SS",2,4,4,2,3,287,42,79,18,3,9,42,17,70,1,1,3,2,5
1999,"NL",900001,"OF",4,5,1,1,1,287,42,79,18,3,9,42,17,70,1,1,3,2,5
1999,"NL",900001,"2B",59,125,146,4,35,287,42,79,18,3,9,42,17,70,1,1,3,2,5
2000,"NL",500001,"2B",9,24,30,2,4,158,23,35,8,2,7,13,15,52,3,2,1,2,3
2000,"NL",500001,"3B",3,5,2,1,1,158,23,35,8,2,7,13,15,52,3,2,1,2,3
2000,"NL",500001,"OF",1,1,1,1,1,158,23,35,8,2,7,13,15,52,3,2,1,2,3
2000,"NL",500001,"SS",26,48,76,7,11,158,23,35,8,2,7,13,15,52,3,2,1,2,3
2001,"NL",600001,"SS",1,2,3,1,1,10,1,3,1,1,1,1,1,4,1,1,1,1,1
2001,"NL",600001,"2B",2,2,7,1,1,10,1,3,1,1,1,1,1,4,1,1,1,1,1
1992,"NL",109001,"P",20,4,16,1,1,30,2,3,2,1,1,3,2,19,1,1,7,1,1
1995,"NL",150001,"P",1,4,5,2,1,3,2,2,1,1,1,1,1,2,1,1,1,1,1
1990,"AL",100001,"P",8,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,"AL",126001,"P",1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1999,"AL",235001,"P",8,8,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000,"AL",285001,"P",28,13,20,2,4,6,2,3,2,1,1,1,1,2,1,1,2,1,1
2001,"AL",1700001,"P",28,17,14,1,4,5,1,2,1,1,1,1,1,2,1,1,2,1,1
2002,"AL",3425001,"P",6,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004,"AL",600001,"P",10,4,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,"NL",327001,"OF",68,177,4,6,2,256,40,55,13,3,6,25,19,79,3,4,5,2,3
2002,"AL",215001,"2B",116,254,317,13,86,464,47,113,19,5,3,41,26,47,1,7,9,3,9
2003,"AL",300001,"2B",2,2,9,2,1,8,2,1,1,1,1,1,1,1,1,1,1,1,1
1988,"NL",63501,"OF",25,56,2,2,2,84,7,16,4,1,3,6,5,20,2,2,1,2,2
1989,"NL",77501,"OF",24,68,1,1,1,103,14,19,5,1,3,15,6,21,3,1,1,2,2
1990,"NL",105001,"OF",41,109,2,2,1,185,18,46,10,1,2,16,10,29,2,3,3,2,4
1991,"NL",180001,"OF",28,87,2,1,1,116,16,20,5,2,2,6,8,26,5,2,2,2,4
1992,"AL",297501,"OF",49,156,3,1,1,209,22,59,11,2,2,17,13,36,3,4,3,4,4
1997,"NL",150001,"OF",47,85,5,3,2,189,23,48,11,3,4,27,22,49,1,2,1,1,1
1998,"NL",180001,"OF",140,273,18,9,1,498,69,156,30,7,18,75,85,134,15,1,5,5,7
1999,"NL",400001,"OF",146,261,9,4,1,547,119,184,36,12,21,94,110,114,9,4,1,5,14
2000,"NL",2933334,"OF",151,338,14,5,3,577,104,183,43,11,26,80,101,117,10,2,1,4,13
2001,"NL",4983001,"OF",160,309,12,9,5,589,119,171,49,5,32,111,107,138,12,2,1,10,14
2002,"NL",6333334,"OF",154,283,11,6,3,573,103,177,51,7,21,86,105,118,10,4,1,7,12
2003,"NL",9100001,"OF",157,305,7,7,1,578,100,174,36,2,21,102,110,127,14,3,1,8,14
2004,"NL",10600001,"OF",158,312,14,7,5,575,119,174,48,2,31,106,128,117,11,6,1,8,6
2005,"NL",13100001,"OF",159,267,8,5,1,589,105,169,38,2,25,103,118,135,16,7,1,9,8
2006,"NL",13600001,"OF",96,179,5,2,1,340,62,95,26,3,9,66,92,87,6,3,1,7,9
2007,"AL",15000001,"OF",151,314,7,5,2,606,124,172,41,6,17,102,85,116,1,4,1,8,12
2008,"AL",16000001,"OF",149,271,11,3,4,610,101,181,40,5,21,101,74,110,3,2,1,2,15
2009,"AL",5000001,"OF",137,270,11,9,5,564,97,166,30,4,16,104,95,114,8,2,1,10,16
2010,"AL",9000001,"OF",135,243,8,7,3,574,89,147,42,2,21,79,88,133,4,3,1,6,14
2011,"AL",9000001,"OF",29,30,3,2,1,503,55,128,31,2,9,61,79,114,6,2,2,4,9
2012,"AL",9000001,"OF",8,12,1,1,1,25,2,6,4,1,1,6,3,6,1,1,1,2,2
2014,"AL",7000001,"1B",110,971,70,7,106,557,81,177,36,3,37,108,52,132,16,12,1,5,15
2015,"AL",8666001,"1B",116,953,61,12,101,614,89,179,35,4,31,102,40,141,12,16,1,2,17
2016,"AL",11666668,"1B",153,1244,85,11,132,625,68,184,33,2,26,101,48,126,8,16,1,10,22
2010,"NL",407001,"2B",12,17,19,4,4,194,17,46,12,2,2,14,5,48,1,1,1,5,9
2010,"NL",407001,"SS",14,17,34,7,13,194,17,46,12,2,2,14,5,48,1,1,1,5,9
2010,"NL",407001,"3B",15,12,34,2,2,194,17,46,12,2,2,14,5,48,1,1,1,5,9
2013,"NL",498001,"3B",2,1,3,1,1,139,22,38,13,4,3,15,7,34,2,2,2,2,6
2013,"NL",498001,"SS",3,3,8,2,1,139,22,38,13,4,3,15,7,34,2,2,2,2,6
2013,"NL",498001,"2B",23,46,58,3,16,139,22,38,13,4,3,15,7,34,2,2,2,2,6
2014,"NL",745001,"3B",1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2
2014,"NL",745001,"2B",1,3,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2
2006,"NL",330001,"P",1,3,7,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1,1
2007,"AL",392201,"P",1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,"AL",392201,"P",1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,"AL",1080001,"P",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
